wallet_index,rank_by_risk,true_label,predicted_label,fraud_probability,risk_score,feature,feature_value,shap_value,abs_shap_value,direction
200663,1,1,1,1.0,100.0,first_sent_block,435562.0,0.052444404426829475,0.052444404426829475,increases risk
200663,1,1,1,1.0,100.0,blocks_btwn_txs_max,1.0,0.04386387415678028,0.04386387415678028,increases risk
200663,1,1,1,1.0,100.0,first_received_block,435561.0,0.04079486980838964,0.04079486980838964,increases risk
200663,1,1,1,1.0,100.0,blocks_btwn_txs_mean,1.0,0.03933982933770518,0.03933982933770518,increases risk
200663,1,1,1,1.0,100.0,total_txs,2.0,0.039149278179358586,0.039149278179358586,increases risk
200663,1,1,1,1.0,100.0,lifetime_in_blocks,1.0,0.039082636018859446,0.039082636018859446,increases risk
200663,1,1,1,1.0,100.0,last_block_appeared_in,435562.0,0.02824775224177538,0.02824775224177538,increases risk
200663,1,1,1,1.0,100.0,btc_sent_total,0.0078,0.024483395511238477,0.024483395511238477,increases risk
200663,1,1,1,1.0,100.0,blocks_btwn_txs_total,1.0,0.024477980232559014,0.024477980232559014,increases risk
200663,1,1,1,1.0,100.0,first_block_appeared_in,435561.0,0.020517435357523317,0.020517435357523317,increases risk
200781,2,1,1,1.0,100.0,first_sent_block,439590.0,0.054486851120914184,0.054486851120914184,increases risk
200781,2,1,1,1.0,100.0,first_received_block,439586.0,0.038408641417453836,0.038408641417453836,increases risk
200781,2,1,1,1.0,100.0,blocks_btwn_txs_max,4.0,0.037871477984424876,0.037871477984424876,increases risk
200781,2,1,1,1.0,100.0,total_txs,2.0,0.03702004501680392,0.03702004501680392,increases risk
200781,2,1,1,1.0,100.0,lifetime_in_blocks,4.0,0.03695024730226699,0.03695024730226699,increases risk
200781,2,1,1,1.0,100.0,blocks_btwn_txs_mean,4.0,0.03478095861149066,0.03478095861149066,increases risk
200781,2,1,1,1.0,100.0,last_block_appeared_in,439590.0,0.03066530352438702,0.03066530352438702,increases risk
200781,2,1,1,1.0,100.0,first_block_appeared_in,439586.0,0.02460784469146988,0.02460784469146988,increases risk
200781,2,1,1,1.0,100.0,btc_sent_total,0.0067,0.02398189896126891,0.02398189896126891,increases risk
200781,2,1,1,1.0,100.0,blocks_btwn_txs_total,4.0,0.023485529812923536,0.023485529812923536,increases risk
200792,3,1,1,1.0,100.0,first_sent_block,455719.0,0.043633395335275806,0.043633395335275806,increases risk
200792,3,1,1,1.0,100.0,blocks_btwn_txs_max,6.0,0.04149366598433924,0.04149366598433924,increases risk
200792,3,1,1,1.0,100.0,total_txs,2.0,0.03921157701957253,0.03921157701957253,increases risk
200792,3,1,1,1.0,100.0,lifetime_in_blocks,6.0,0.037778933727883234,0.037778933727883234,increases risk
200792,3,1,1,1.0,100.0,blocks_btwn_txs_mean,6.0,0.03574383039664419,0.03574383039664419,increases risk
200792,3,1,1,1.0,100.0,blocks_btwn_txs_total,6.0,0.026083193469386885,0.026083193469386885,increases risk
200792,3,1,1,1.0,100.0,first_received_block,455713.0,0.025690702391383984,0.025690702391383984,increases risk
200792,3,1,1,1.0,100.0,btc_sent_total,0.0016,0.02520620979110553,0.02520620979110553,increases risk
200792,3,1,1,1.0,100.0,fees_max,0.0553216,0.020259875141380054,0.020259875141380054,increases risk
200792,3,1,1,1.0,100.0,btc_received_total,0.0016,0.01983630181725101,0.01983630181725101,increases risk
197154,4,1,1,1.0,100.0,total_txs,2.0,0.08615164367880285,0.08615164367880285,increases risk
197154,4,1,1,1.0,100.0,fees_as_share_max,0.000199834792344,0.06426822598095319,0.06426822598095319,increases risk
197154,4,1,1,1.0,100.0,num_txs_as receiver,2.0,0.06415323822431121,0.06415323822431121,increases risk
197154,4,1,1,1.0,100.0,fees_median,0.0002,0.050586221668212514,0.050586221668212514,increases risk
197154,4,1,1,1.0,100.0,fees_min,0.0002,0.04730319200080455,0.04730319200080455,increases risk
197154,4,1,1,1.0,100.0,fees_as_share_total,0.0003966319584766,0.04335031411372139,0.04335031411372139,increases risk
197154,4,1,1,1.0,100.0,fees_as_share_median,0.0001983159792383,0.042465096520294246,0.042465096520294246,increases risk
197154,4,1,1,1.0,100.0,fees_mean,0.0002,0.0386549622123065,0.0386549622123065,increases risk
197154,4,1,1,1.0,100.0,fees_as_share_mean,0.0001983159792383,0.03504883179175452,0.03504883179175452,increases risk
197154,4,1,1,1.0,100.0,fees_max,0.0002,0.024549385174706215,0.024549385174706215,increases risk
197156,5,1,1,1.0,100.0,first_sent_block,439587.0,0.053604720830455484,0.053604720830455484,increases risk
197156,5,1,1,1.0,100.0,blocks_btwn_txs_max,3.0,0.03884914145651938,0.03884914145651938,increases risk
197156,5,1,1,1.0,100.0,total_txs,2.0,0.03805570265573599,0.03805570265573599,increases risk
197156,5,1,1,1.0,100.0,lifetime_in_blocks,3.0,0.03653644307783886,0.03653644307783886,increases risk
197156,5,1,1,1.0,100.0,blocks_btwn_txs_mean,3.0,0.03510752993955868,0.03510752993955868,increases risk
197156,5,1,1,1.0,100.0,first_received_block,439584.0,0.03450348440664471,0.03450348440664471,increases risk
197156,5,1,1,1.0,100.0,last_block_appeared_in,439587.0,0.028997385224464826,0.028997385224464826,increases risk
197156,5,1,1,1.0,100.0,btc_sent_total,0.0067,0.02567067270229236,0.02567067270229236,increases risk
197156,5,1,1,1.0,100.0,blocks_btwn_txs_total,3.0,0.024486958773397318,0.024486958773397318,increases risk
197156,5,1,1,1.0,100.0,first_block_appeared_in,439584.0,0.023530225483711417,0.023530225483711417,increases risk
197225,6,1,1,1.0,100.0,blocks_btwn_txs_max,1.0,0.04221278725490354,0.04221278725490354,increases risk
197225,6,1,1,1.0,100.0,first_sent_block,457731.0,0.040617195374398854,0.040617195374398854,increases risk
197225,6,1,1,1.0,100.0,total_txs,2.0,0.03939084336335376,0.03939084336335376,increases risk
197225,6,1,1,1.0,100.0,lifetime_in_blocks,1.0,0.038044594794050174,0.038044594794050174,increases risk
197225,6,1,1,1.0,100.0,blocks_btwn_txs_mean,1.0,0.03602322462626403,0.03602322462626403,increases risk
197225,6,1,1,1.0,100.0,fees_max,0.04238,0.02888706565297591,0.02888706565297591,increases risk
197225,6,1,1,1.0,100.0,btc_sent_total,0.0049,0.028562400112936804,0.028562400112936804,increases risk
197225,6,1,1,1.0,100.0,fees_min,0.00297938,-0.02560661016679567,0.02560661016679567,decreases risk
197225,6,1,1,1.0,100.0,blocks_btwn_txs_total,1.0,0.024436642668256407,0.024436642668256407,increases risk
